url	download_complete
swiki.ics.uci.edu/doku.php/announce:summer-2018?idx=security	complete
sli.ics.uci.edu/Classes-CS271-Notes/MCTS?action=edit	complete
emj.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Femj.ics.uci.edu%2Fpapers%2Fmachine-learning-papers%2F	complete
sli.ics.uci.edu/Classes-CS178-Notes/Classes-CS178-Notes	complete
www.ics.uci.edu/~xhx/publications/HHR.pdf"	complete
wics.ics.uci.edu/event/mentorship-banquet?ical=1	complete
ngs.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fngs.ics.uci.edu%2Fpartners%2Fcollaborators%2F	complete
sli.ics.uci.edu/Classes/2013S-77B?action=download&upname=Lab1.m	complete
ngs.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fngs.ics.uci.edu%2Findian-ceos-pride-of-nagpur%2F	complete
honors.ics.uci.edu?p=6	complete
honors.ics.uci.edu?p=5	complete
honors.ics.uci.edu?p=3	complete
www.ics.uci.edu/community/events/openhouse/gallery_04.html	complete
swiki.ics.uci.edu/lib/exe/opensearch.php	complete
transformativeplay.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Ftransformativeplay.ics.uci.edu%2Fjeffrey-bryan%2F	complete
duttgroup.ics.uci.edu?p=653	complete
www.ics.uci.edu/~aces/projects.htm	complete
duttgroup.ics.uci.edu?p=651	complete
grape.ics.uci.edu/wiki/asterix/timeline?from=2018-04-02T15%3A02%3A43-07%3A00&precision=second	complete
ngs.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fngs.ics.uci.edu%2Fsocial-life-networks-sln%2F	complete
ngs.ics.uci.edu?p=2002	complete
wics.ics.uci.edu/fall-quarter-2016-week-6-facebook-diversity-panel?share=twitter	complete
www.ics.uci.edu/~dvk/CV/cv.html	complete
ngs.ics.uci.edu/entrepreneurship/current-companies	complete
ngs.ics.uci.edu/nagpur-trip-20072	complete
swiki.ics.uci.edu/doku.php/projects:maint-winter-2019?idx=security	complete
sprout.ics.uci.edu/past_projects/sucses	complete
cml.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fcml.ics.uci.edu%2F2014%2F09%2Ffall-2014%2F	complete
